gene	A01	A03	A06	A07	A08	D36_SCC	D39_SCC	D42_SCC	D44_SCC	E57_SCC	
2900041M22Rik	0	5	1	0	1	8	18	8	7	1	
Sdf2	3	24	111	15	104	16	69	21	5	48	
Olfr1048	0	0	0	0	0	0	0	0	0	0	
Olfr1049	0	0	0	0	0	0	0	0	0	0	
Olfr1046	0	0	0	0	0	0	1	0	0	0	
Olfr1047	0	0	0	0	0	0	0	0	0	0	
Olfr1044	0	0	0	0	0	5	3	21	7	1	
Olfr1045	0	0	0	0	0	0	3	10	4	0	
Olfr1042	0	0	0	0	0	8	0	0	1	6	
Olfr1043	0	0	2	0	0	0	0	2	1	0	
Olfr1040	0	0	0	0	0	0	0	0	0	0	
Strap	117	74	416	64	59	12	252	50	14	161	
Hcar2	3	0	8	17	1	5	99	20	20	54	
Hcar1	0	0	2	1	2	40	5	37	11	4	
Capzb	269	93	966	269	150	95	410	100	60	632	
Hoxb5os	0	0	0	0	0	1	7	16	5	4	
Smc2os	0	0	0	0	0	0	0	1	3	0	
4930556G01Rik	0	0	0	0	0	0	0	0	1	0	
Snph	2	5	5	7	1	14	16	53	22	8	
Gsto2	2	0	10	0	2	7	25	11	5	18	
Gsto1	36	62	196	62	53	2304	9653	1033	716	4910	
Srgap1	176	18	225	201	38	156	91	156	88	63	
Rprl1	72	6	65	7	17	6	116	2	0	33	
Rprl3	2600	319	2116	550	390	168	1980	54	42	1077	
Rprl2	420	27	333	36	27	8	273	7	5	149	
Nkg7	45	0	49	8	0	5	0	13	4	0	
I730028E13Rik	2	0	0	0	0	2	6	21	5	15	
Saysd1	29	2	92	63	21	89	80	323	134	22	
Mir713	0	0	0	0	0	0	0	0	3	15	
Mir710	0	0	0	0	0	0	0	2	0	0	
Mir711	0	0	0	0	0	0	0	3	0	0	
Gm15816	14	0	1	0	1	8	0	14	19	2	
Mir717	0	0	0	0	0	0	0	0	0	0	
Mir718	0	0	0	0	0	0	0	0	0	0	
Mir719	0	0	0	0	0	0	0	0	0	0	
Ddx43	1	1	0	3	4	3	4	10	4	0	
Osbpl1a	46	60	190	47	46	20	40	40	33	72	
1700119H24Rik	0	0	9	0	0	3	3	11	3	0	
Ddx42	140	63	490	100	69	30	206	63	77	225	
1700025M24Rik	0	0	1	0	0	3	0	7	13	1	
4930428G15Rik	2	0	0	0	0	3	2	13	5	0	
Osbpl10	17	0	37	2	5	8	41	21	23	41	
Osbpl11	125	29	176	64	37	46	130	45	28	59	
Ecm2	30	32	85	14	11	24	5	66	49	28	
Ecm1	141	99	465	144	79	635	1952	379	232	2234	
4930503E24Rik	1	0	0	0	1	3	9	13	6	0	
Gm16548	1	0	0	3	1	2	5	26	18	2	
Ppm1g	107	111	665	226	135	105	358	67	43	127	
Ppm1f	236	193	628	127	140	39	135	70	32	54	
Ppm1e	9	3	8	1	4	22	5	55	25	11	
Ppm1d	47	49	125	13	2	28	49	37	27	44	
Ppm1b	278	110	497	156	96	65	343	77	39	163	
Ppm1a	217	110	854	315	78	25	242	74	40	270	
Ppm1n	0	1	1	0	0	0	7	21	9	1	
Ppm1m	41	45	76	35	14	0	26	24	1	0	
Ppm1l	66	74	174	58	5	26	204	85	42	25	
Ppm1k	55	53	267	51	26	36	29	109	27	128	
Ppm1j	0	6	24	1	21	13	10	29	28	6	
Ppm1h	202	61	240	91	65	46	177	86	42	87	
Glp1r	75	85	236	45	71	0	14	13	8	1	
Lcor	73	36	239	84	101	16	184	61	44	134	
4930550C14Rik	13	0	0	0	6	11	5	8	5	3	
Aldh4a1	18	11	96	37	6	13	121	33	16	12	
Gm21637	0	0	0	0	0	4	0	0	2	0	
Nat8l	11	0	19	11	4	19	17	56	28	150	
Trappc3l	0	0	0	0	0	3	3	13	7	3	
Pag1	531	322	769	643	268	88	233	209	123	210	
Utp11l	12	20	122	16	7	5	47	23	10	81	
Upf3b	79	8	262	31	9	28	364	29	11	38	
Irgq	98	46	162	129	96	220	140	169	107	159	
Uchl1os	1	0	0	0	0	10	1	12	9	0	
Pcdha2	0	1	5	1	0	7	5	24	16	5	
4932435O22Rik	23	1	3	29	9	7	35	24	10	5	
BC031361	1	17	38	1	3	7	20	57	35	6	
Mir196a-2	0	0	0	0	0	0	0	0	0	0	
Mir196a-1	0	0	0	0	0	0	0	0	0	0	
Ccpg1	421	280	1566	377	181	74	292	144	67	86	
Aldh7a1	43	15	183	19	10	5	26	35	12	7	
1700030C10Rik	0	1	0	3	4	53	14	74	21	2	
Kcnmb4	0	0	2	5	0	1	7	17	16	0	
Irg1	0	0	2	2	4	10	12	47	19	4	
Pcdha5	0	0	0	2	0	8	3	16	11	1	
Setd8	229	56	510	129	92	127	472	105	75	492	
C230024C17Rik	1	5	2	2	1	30	10	42	30	12	
Olfr798	0	0	0	0	0	5	3	5	1	3	
Olfr799	0	0	0	0	0	1	0	2	0	0	
Olfr794	0	0	0	0	0	0	0	2	5	0	
Olfr796	0	0	1	0	0	15	2	20	12	1	
Setd2	853	270	2210	523	298	108	1116	241	136	381	
Olfr790	0	0	2	0	0	0	0	7	0	0	
Setd4	0	0	30	1	5	16	32	19	5	2	
Olfr792	0	0	0	0	0	2	0	3	0	0	
Setd6	16	2	64	1	0	13	6	10	16	2	
Pcdha9	0	0	1	0	0	8	5	7	11	0	
8030423F21Rik	1	7	5	5	0	22	14	71	38	3	
Mir1668	0	0	0	0	0	0	2	0	0	0	
Pm20d2	46	31	75	40	75	26	41	99	45	28	
R3hdml	0	2	3	0	0	3	8	3	5	0	
Gm11128	2	6	5	2	3	23	21	89	38	6	
Bcl9	240	128	341	149	80	48	246	117	96	243	
Ngfr	143	90	140	148	57	151	270	137	77	236	
Bcl6	118	40	275	110	84	45	367	54	24	89	
Gm11127	7	13	4	7	2	100	37	105	84	17	
Bcl3	44	27	63	28	21	50	170	52	34	149	
4933402J07Rik	0	5	0	0	3	0	2	14	8	5	
Xist	4735	1851	4	23	4	572	7180	900	72	3379	
Fam78a	28	4	17	47	19	26	36	67	44	20	
Fam78b	121	10	80	65	28	24	45	77	37	40	
Vhl	55	42	42	8	42	42	106	28	13	134	
Gad1os	1	0	0	0	0	2	0	7	3	1	
Speer4f1	2	0	11	0	0	11	1	32	8	0	
Vps18	69	15	78	13	30	51	26	59	48	64	
R3hdm4	254	49	299	131	115	76	551	89	24	223	
Vps16	87	34	185	26	17	4	73	20	16	72	
R3hdm1	192	77	385	191	93	51	322	104	67	142	
R3hdm2	526	232	1056	439	187	40	463	175	86	365	
Kif16bos	0	0	1	0	7	0	1	2	1	0	
Sf3a2	50	28	130	146	10	14	81	36	15	36	
Sf3a3	22	16	204	21	36	13	44	27	16	116	
9130011E15Rik	84	23	48	19	21	0	86	39	17	13	
Stx1a	15	26	11	10	2	3	38	34	10	28	
Stx1b	3	6	11	3	22	12	21	24	14	0	
Krt80	96	50	576	42	103	9	94	41	27	216	
Krt81	0	0	0	0	0	2	2	11	13	14	
Krt82	0	0	0	0	0	7	0	27	14	11	
Krt83	0	0	0	0	0	17	8	17	8	14	
Krt84	1	0	13	1	0	31	9	30	29	7	
Krt85	0	1	0	0	0	4	0	4	3	0	
Gm11780	0	5	3	0	0	0	3	14	11	3	
Exd2	104	48	140	122	24	16	85	37	17	85	
Exd1	5	3	2	1	1	5	11	23	6	2	
Ppp1r16a	52	7	96	40	14	17	44	45	14	4	
Ppp1r16b	805	324	1541	836	465	216	229	238	161	116	
Nlrx1	13	2	53	19	1	15	113	29	38	36	
BB014433	1	2	0	0	0	10	3	21	15	0	
Vmn1r197	0	0	0	0	1	1	0	7	1	0	
Stx11	131	53	239	152	68	0	28	34	31	54	
Amfr	251	234	801	106	107	54	352	61	43	211	
Stx12	335	128	636	274	218	69	411	79	43	100	
Keg1	0	0	0	0	1	1	2	16	6	2	
Stx17	167	6	537	164	165	59	347	60	23	8	
Stx16	111	78	357	98	55	17	253	37	36	161	
Stx19	3	0	6	0	0	5	8	4	2	0	
Stx18	7	10	76	10	25	7	68	24	17	6	
Gm12789	0	0	2	0	0	1	2	5	3	1	
Gm15179	0	3	1	0	0	0	2	9	8	0	
Tcaf3	2	0	0	3	0	15	12	19	10	1	
Tcaf2	33	20	76	11	10	9	49	59	23	9	
Tcaf1	50	40	224	135	7	4	56	19	17	8	
Tsta3	50	0	2	4	5	1	18	14	6	40	
Olfr669	0	0	0	0	0	9	0	4	0	2	
Kdm2a	455	235	1162	337	163	179	468	170	76	338	
4931420L22Rik	0	2	1	21	3	5	3	58	25	6	
Tppp2	0	0	0	0	2	4	3	11	9	0	
Kdm2b	88	39	170	26	14	71	106	124	59	86	
Mir199a-1	0	0	0	0	0	0	0	0	0	0	
4930563E22Rik	110	86	83	70	46	21	59	47	10	22	
Gm5615	162	109	84	135	129	214	89	104	73	86	
Gm5617	13	1	0	0	1	2	10	1	0	2	
Prpf19	114	36	491	94	30	44	189	87	45	83	
Prpf18	89	52	313	80	58	32	146	38	13	102	
Gstp2	1	5	0	0	0	0	1	14	1	8	
Gstp1	15	4	29	5	17	0	2	3	4	25	
D830031N03Rik	559	217	1965	387	182	46	188	119	46	148	
H2-M10.1	0	0	0	0	0	0	0	1	6	0	
H2-M10.3	0	2	0	0	3	1	1	18	1	1	
H2-M10.2	0	0	0	1	0	7	1	13	2	0	
H2-M10.5	0	0	0	0	0	0	2	6	2	0	
H2-M10.4	0	0	0	1	0	4	0	5	3	0	
H2-M10.6	0	0	0	0	1	1	2	4	6	0	
Dbx2	1	4	0	0	0	15	2	23	13	2	
Dbx1	1	1	5	3	5	27	7	25	16	5	
BC039771	31	12	33	51	29	25	12	56	26	27	
Clec12b	0	0	0	0	0	14	8	8	11	0	
Clec12a	10	5	6	5	5	3	5	21	18	3	
BC016548	1	1	4	5	4	11	18	55	16	11	
4933416M06Rik	0	0	4	1	0	21	5	20	9	1	
Cd52	110	26	91	20	15	0	5	11	8	27	
Cd53	121	38	192	91	26	11	136	37	27	37	
Cd55	192	54	435	249	219	1	240	47	25	103	
Clec4g	3	8	11	8	0	3	9	13	5	3	
Cd8b1	7	1	1	1	1	9	2	19	6	5	
Clec4e	31	4	50	76	0	39	67	39	3	4	
Clec4d	4	2	9	24	2	0	12	8	2	44	
Mto1	8	10	88	6	0	15	42	27	26	8	
Hoga1	10	6	17	5	3	6	4	25	17	2	
Tpo	0	2	0	1	0	0	3	42	9	3	
Gm9962	17	42	9	15	15	97	85	263	168	50	
Gm9961	0	0	0	0	0	0	2	2	3	0	
Tpr	432	276	2681	464	257	129	865	178	114	243	
1700027A15Rik	0	0	0	1	0	0	0	5	0	0	
Vmn1r30	0	0	2	0	0	0	0	3	0	4	
Vmn1r31	0	0	0	0	0	2	0	3	0	1	
Vmn1r32	0	0	1	0	0	5	2	8	1	0	
Vmn1r33	0	0	0	0	0	5	5	7	0	0	
Vmn1r34	1	0	0	0	0	0	7	12	2	0	
Vmn1r35	0	0	0	0	0	1	0	0	3	0	
Vmn1r36	0	0	0	0	0	0	3	1	1	0	
Vmn1r37	0	0	0	0	0	0	1	0	1	0	
Gm7102	55	55	102	49	28	314	133	1492	585	114	
Txnrd2	1	8	34	1	6	1	4	16	9	14	
Gm7104	1	5	1	1	1	18	10	39	23	13	
Mtor	170	100	677	264	85	100	291	103	71	165	
3110043O21Rik	44	26	110	6	38	23	49	39	21	88	
Vipr2	50	34	211	114	37	86	45	54	39	23	
Cd5l	0	0	2	0	0	13	1	13	6	9	
Cdkn2aip	23	10	139	27	8	3	15	32	18	133	
Ulbp1	1	0	4	0	1	6	8	7	9	3	
Uqcc1	53	11	91	37	50	15	27	32	17	28	
Uqcc3	29	37	73	38	5	7	24	10	10	0	
2810029C07Rik	9	4	3	0	6	4	54	23	10	16	
Ppp1r42	0	1	1	0	0	2	0	5	8	0	
Ugt2b5	0	0	0	0	0	2	0	4	0	2	
Ugt2b1	0	2	1	0	0	19	0	13	1	5	
Ppargc1a	169	99	107	162	107	55	160	79	63	42	
Ppargc1b	16	16	38	36	3	24	86	91	43	56	
Uroc1	5	2	2	5	2	26	8	37	42	19	
1700029F12Rik	0	0	0	1	1	64	2	11	13	0	
Apcdd1	3	5	35	5	9	12	32	44	22	3	
A630073D07Rik	0	0	0	0	1	0	3	6	1	0	
Bhlhe22	10	1	4	5	0	6	5	23	6	21	
Bhlhe23	1	0	2	0	1	7	4	11	10	5	
Rassf9	114	80	391	42	6	12	122	29	26	5	
Nobox	0	0	0	0	0	36	5	21	11	3	
Med28	97	48	236	126	45	3	173	32	28	54	
Amy1	2	0	0	5	2	2	22	2	0	1	
Gm8709	2	0	0	2	3	8	5	21	9	1	
Ascl4	7	0	0	1	8	27	4	36	14	1	
Cyp11b2	0	0	0	0	0	2	2	13	3	0	
Cyp11b1	0	0	0	0	0	1	0	8	7	2	
Wars	267	119	670	103	63	37	146	69	36	75	
Rassf1	38	16	147	44	9	26	72	49	13	148	
Clint1	184	105	672	125	54	94	542	98	68	198	
4930432M17Rik	0	2	0	0	5	2	5	7	7	3	
Med23	64	37	162	106	44	67	82	55	27	113	
Rassf2	356	72	755	187	68	86	141	125	57	76	
Sltm	251	93	936	188	74	23	364	85	50	118	
4930544D05Rik	0	4	0	0	0	4	2	3	1	2	
2310003N18Rik	0	0	0	0	0	0	0	0	10	0	
Med24	64	41	186	18	2	13	207	41	27	30	
Med27	11	24	27	42	18	43	37	27	16	7	
Patz1	55	11	150	76	17	25	117	35	25	2	
Rassf6	2	0	8	19	2	28	27	31	12	9	
3632451O06Rik	32	8	14	6	15	16	8	27	7	5	
Lamp5	0	0	2	0	1	1	5	13	8	1	
Lamp3	839	357	2772	492	397	29	57	54	40	32	
Lamp2	609	388	1593	402	322	138	1225	160	55	658	
Lamp1	1235	534	3484	1315	771	263	1420	241	112	1155	
Myt1	23	4	15	3	1	19	27	76	46	16	
Bag2	2	0	68	14	1	9	67	34	13	103	
Tmem65	199	68	403	109	71	32	275	43	32	211	
Arhgap15os	1	0	0	5	0	7	5	13	1	0	
Tmem62	24	9	82	48	3	8	17	22	13	7	
Tmem60	26	70	8	72	2	0	40	8	8	7	
Ttll9	2	6	10	1	5	33	2	16	10	3	
Tmem69	66	14	134	32	20	111	190	359	201	230	
Tmem68	74	3	85	51	12	5	4	10	17	99	
Dlec1	74	15	56	50	21	33	35	83	33	3	
4933403O08Rik	0	1	0	0	0	0	0	7	0	3	
Olfml2b	20	23	75	31	17	7	28	15	13	31	
Gm609	0	0	0	0	0	2	3	6	2	0	
Gm608	478	229	1066	496	202	204	804	230	132	214	
AF366264	1	2	2	4	2	30	17	77	38	8	
5430421N21Rik	0	0	0	0	0	2	11	5	3	3	
Tada1	13	1	49	19	10	3	26	16	4	85	
Tada3	24	12	102	16	3	7	52	44	15	61	
Set	563	162	1503	247	210	239	680	167	78	843	
1700072B07Rik	0	0	0	0	0	3	0	7	1	6	
Ndufb11	82	9	220	40	31	22	94	49	18	50	
Ndufb10	82	3	318	47	14	12	136	28	14	195	
C030013G03Rik	3	0	0	0	0	15	1	5	9	3	
Tecta	0	7	3	7	3	12	32	101	30	10	
Dagla	63	57	117	18	45	44	46	75	47	49	
Tectb	15	2	5	0	1	24	8	34	12	13	
9230114K14Rik	16	12	14	18	4	24	37	48	18	12	
Mir99a	0	0	0	0	0	0	0	0	0	0	
2200002D01Rik	20	8	47	8	6	46	210	30	31	228	
Cntln	106	11	279	15	15	14	71	81	22	23	
Lxn	69	30	45	30	81	16	93	28	20	25	
Gm10256	0	0	0	0	0	0	0	0	0	0	
1700123K08Rik	0	0	3	0	0	0	0	5	7	0	
AA414768	43	5	68	14	17	10	8	36	25	19	
Tfdp2	280	148	1052	286	185	68	206	68	61	79	
Tfdp1	86	14	186	38	3	46	150	54	25	94	
Scin	10	8	2	0	6	49	17	42	14	36	
Brip1os	141	43	263	41	35	110	109	217	118	95	
Mif4gd	27	38	160	22	57	6	46	27	20	10	
Sumo1	213	96	700	145	98	16	435	42	28	302	
Sumo3	190	96	467	139	118	29	323	67	31	158	
Sumo2	319	151	720	507	182	99	300	90	46	182	
Pds5a	161	66	576	184	107	21	247	77	62	172	
Pds5b	385	43	838	301	61	36	171	72	36	96	
Wfdc18	0	0	0	0	0	0	4	14	3	44	
Rb1cc1	158	111	887	151	138	64	445	104	47	200	
Podn	274	117	256	234	151	393	301	174	112	109	
Smndc1	102	56	242	98	52	36	116	35	15	220	
Espnl	3	0	0	3	47	16	14	47	21	18	
F2r	535	299	1734	618	437	70	799	93	42	145	
Tsnaxip1	4	0	27	10	14	7	1	35	15	1	
Ms4a13	0	0	16	0	0	5	1	2	15	1	
BC027231	4	1	52	13	10	40	42	56	16	11	
Tbx10	1	5	4	2	2	11	16	36	14	1	
1700067P10Rik	0	0	0	0	0	1	5	19	5	0	
Tbx15	0	2	0	0	0	28	22	35	19	3	
Tbx18	551	413	865	679	298	105	141	85	88	260	
Tbx19	0	0	0	0	3	4	4	32	14	3	
Ap4s1	5	6	79	8	0	3	18	4	6	14	
Olfr770	0	0	0	0	0	9	0	3	4	0	
Lig4	33	14	187	6	17	33	43	53	21	33	
Nav3	12	0	19	3	2	43	27	65	60	47	
Nav2	565	300	1341	610	466	198	353	265	200	361	
Lig1	24	12	160	67	12	1	37	20	29	57	
Lig3	76	22	242	44	8	12	99	94	40	105	
Gata5os	21	19	35	26	23	6	21	45	27	32	
Scarna13	803	303	901	244	195	151	625	92	58	311	
Klrd1	5	0	0	0	0	0	6	5	0	3	
Plbd1	72	78	89	48	5	4	16	16	26	169	
Dip2a	121	21	228	121	55	27	222	84	34	210	
Dip2b	222	87	453	178	88	138	395	138	106	446	
4930481A15Rik	9	7	5	16	2	10	16	20	7	4	
Scarna17	14	8	6	14	1	1	2	4	9	1	
Pea15a	430	304	1403	300	351	77	227	75	53	192	
Cst10	0	0	0	0	0	0	1	5	1	4	
Cst11	0	0	0	0	0	2	0	15	0	1	
Cst12	0	0	0	0	0	0	0	9	6	5	
Cst13	0	0	0	0	2	0	0	3	0	0	
4921511C20Rik	1	1	0	0	0	0	13	13	3	0	
Suv39h1	24	12	92	12	2	15	55	47	16	33	
Suv39h2	1	0	37	0	4	22	20	29	21	32	
Hmcn1	540	361	2444	845	365	130	260	167	94	66	
Slc16a3	6	11	18	2	5	21	4	31	14	241	
Siglecg	14	2	3	14	32	4	6	15	11	1	
Gm13238	1	0	8	3	0	15	9	61	18	10	
Slc6a19os	0	4	0	0	0	6	4	11	4	3	
Zfp608	206	82	869	243	145	109	337	180	77	63	
Zfp609	382	112	1084	341	182	151	748	260	129	517	
Zfp600	0	0	1	0	4	0	1	7	8	0	
Zfp605	19	14	161	34	14	47	34	95	47	52	
Zfp606	82	25	133	70	20	18	78	43	16	183	
Zfp607	26	51	40	22	24	124	131	179	101	69	
Xrra1	1	3	20	2	1	14	9	42	11	3	
Ogfrl1	81	35	159	66	13	23	72	49	19	143	
4931423N10Rik	0	1	0	0	0	0	2	11	5	1	
Rubie	0	2	1	2	1	4	0	17	8	2	
Gm15997	0	0	0	0	0	1	7	10	10	1	
4930432K21Rik	0	5	6	10	0	27	9	72	34	17	
Zbtb24	60	30	79	85	16	104	88	69	34	13	
9830147E19Rik	32	3	87	16	12	4	9	48	26	3	
Brwd3	123	9	358	64	85	27	315	77	35	244	
Brwd1	459	183	1393	246	146	121	530	164	114	316	
Mir503	0	0	0	0	0	0	0	0	0	0	
Mir501	0	0	0	0	0	0	0	1	0	0	
Mir500	0	0	0	0	0	0	0	0	0	0	
Mir505	0	0	0	0	0	0	0	0	0	0	
Mir504	0	0	0	0	0	0	0	0	0	0	
Mina	16	1	182	39	42	53	127	37	18	120	
Mir509	0	0	0	0	0	0	0	0	0	0	
Fam84b	273	108	853	352	155	69	426	73	53	86	
Ramp3	5	2	6	2	4	20	5	11	2	2	
Fam84a	23	9	10	32	3	109	277	119	58	194	
Rita1	0	7	40	4	1	7	12	23	9	17	
Myadml2	2	0	0	0	0	18	3	34	20	1	
Nrcam	23	11	36	55	4	16	19	50	33	23	
Tox	9	1	14	0	2	58	9	27	9	1	
A630019I02Rik	0	2	2	0	3	1	9	29	18	2	
Slc19a2	19	1	53	18	2	10	36	26	14	18	
Slc19a3	5	1	72	28	3	36	19	28	29	1	
Ubald2	11	0	22	3	0	0	7	1	6	18	
Slc19a1	25	5	19	0	8	1	3	18	15	17	
Styk1	0	0	26	0	1	23	72	31	18	23	
Popdc2	6	21	191	36	25	31	39	26	15	3	
Popdc3	25	10	48	65	27	11	20	11	12	22	
Ctcflos	0	5	1	0	0	9	8	25	13	14	
Gm3458	0	0	0	0	0	0	0	8	0	0	
Tmem55a	79	62	254	82	22	13	86	30	8	98	
Tmem55b	85	8	83	21	9	61	64	26	19	15	
2010009K17Rik	0	0	0	0	0	0	2	3	2	0	
Trmt61a	11	1	28	6	3	34	34	43	24	13	
Trmt61b	0	0	24	8	0	6	63	22	9	9	
Pet2	0	5	0	1	1	10	4	24	11	7	
Abl1	127	75	466	142	112	66	282	160	112	104	
Abl2	234	141	503	170	23	76	517	179	94	250	
Plscr4	199	40	564	356	46	17	128	44	27	5	
Plscr5	0	0	2	0	0	2	2	2	4	0	
Plscr2	80	8	83	23	31	13	125	22	9	15	
Plscr3	375	188	644	280	184	48	468	46	31	263	
Plscr1	46	20	253	49	38	7	161	39	15	95	
Olfr181	0	0	0	0	0	2	3	12	6	0	
Fthl17	0	0	0	0	0	0	1	13	2	0	
Rpgrip1l	30	42	222	33	25	30	45	44	19	24	
Plac1	0	0	2	0	0	0	2	14	7	3	
Olfr610	0	1	0	0	0	7	0	3	6	5	
Olfr613	117	59	158	143	76	1071	675	2725	1290	301	
Olfr612	0	0	0	0	0	0	3	4	0	0	
Olfr615	0	0	0	0	1	6	0	5	3	0	
Klhdc8a	16	3	58	1	2	79	244	87	62	70	
Olfr617	0	0	0	3	0	0	2	4	1	0	
Olfr616	0	0	0	0	1	7	0	8	4	0	
Olfr619	0	0	0	1	0	8	3	10	1	0	
Olfr618	0	0	0	1	0	3	0	12	5	0	
Lrtm1	2	6	1	10	14	33	32	53	44	15	
Lrtm2	17	22	30	27	0	22	5	59	12	8	
Adra1a	54	29	257	97	58	52	38	32	33	5	
Ttpal	95	20	88	52	22	17	108	67	30	41	
Adra1b	7	9	19	6	2	4	9	26	34	1	
Adra1d	5	5	8	1	54	23	8	21	13	22	
H2-Ke6	16	4	43	33	11	0	20	14	4	0	
Rbm31y	0	0	0	0	0	0	0	0	0	0	
Rai14	249	134	1105	192	189	58	153	83	28	574	
Lep	0	4	0	1	2	5	11	25	19	2	
Rint1	26	39	175	28	43	20	46	84	52	46	
Zfp189	5	15	27	3	5	13	7	32	21	18	
Zfp185	13	4	43	8	1	116	111	52	26	136	
Zfp184	7	0	28	4	47	23	16	39	17	6	
Setdb1	70	17	356	37	31	21	105	82	33	42	
Setdb2	78	15	117	39	12	17	67	17	11	24	
4930523C07Rik	271	97	663	82	101	46	255	95	53	14	
Banf1	56	30	117	31	2	6	116	20	8	63	
Banf2	0	0	0	0	0	0	2	9	3	0	
Avl9	154	110	483	246	44	88	292	64	38	91	
2210016F16Rik	85	32	80	21	7	102	98	129	70	38	
Gtf2ird2	30	0	19	40	35	25	22	62	21	22	
0610037L13Rik	13	35	61	26	1	5	31	8	15	18	
Arid2	357	182	833	388	162	186	511	148	71	332	
Ccrl2	38	35	219	161	31	15	46	27	16	3	
Gldn	11	2	1	1	1	23	39	33	19	4	
Gldc	3	0	0	2	0	5	1	23	9	3	
1700049L16Rik	0	2	3	0	1	0	4	17	14	13	
Ahcy	0	0	1	16	0	21	47	10	6	2	
Tomm20	244	44	314	154	46	29	357	74	49	252	
Tomm22	72	27	87	46	15	17	127	34	17	42	
Aoc1	5	5	62	1	5	15	11	44	17	11	
Aoc3	49	5	100	25	7	35	36	65	39	16	
Aoc2	5	3	13	9	3	14	43	43	34	11	
D930048N14Rik	29	13	50	6	6	28	142	80	33	45	
Wnt3a	24	11	80	39	8	3	12	22	15	1	
Npl	2	4	43	0	2	0	5	11	0	0	
Slc9a3r2	794	365	1903	695	426	30	200	52	48	17	
Slc9a3r1	93	7	122	104	19	90	313	70	70	190	
Npb	0	0	2	0	0	0	0	9	4	0	
Npy	1	0	0	1	1	5	0	11	6	19	
Npw	8	0	37	6	0	0	0	0	1	0	
Nps	0	1	0	0	0	1	1	0	0	4	
5730416F02Rik	1	1	1	0	1	1	2	5	1	0	
Ufc1	36	14	97	42	3	31	82	9	11	44	
Malt1	96	61	147	47	20	69	331	106	76	120	
Thsd7b	0	6	10	18	1	17	8	31	25	3	
Thsd7a	17	30	176	85	24	25	28	125	49	13	
Kcnh5	0	3	0	1	2	29	22	21	10	4	
Kcnh4	2	0	2	2	0	12	12	30	18	2	
Crcp	49	12	95	14	63	27	39	24	20	21	
Kcnh6	0	6	1	7	5	6	7	21	18	2	
Kcnh1	27	9	71	24	3	59	24	85	33	17	
Kcnh3	8	4	2	3	25	32	13	63	20	12	
Kcnh2	8	23	48	5	43	17	3	46	38	18	
Kcnh8	2	1	12	0	3	7	8	21	21	5	
Zfp182	26	44	101	14	36	20	82	68	2	30	
1700066N21Rik	0	0	0	0	0	1	0	1	0	0	
Gpx2-ps1	1	0	1	0	0	21	0	2	3	23	
Lepr	449	101	1414	212	178	71	163	130	64	19	
Gm21269	0	1	0	1	0	5	1	14	7	0	
Cidea	1	0	10	2	0	4	3	17	7	20	
1700012D16Rik	4	43	0	21	1	15	2	6	4	0	
Sgcg	4	3	12	6	3	3	10	27	16	0	
Sgce	86	63	194	78	58	27	1	6	11	2	
Sgcd	0	0	2	18	9	1	0	11	4	1	
Sgcb	13	25	98	39	11	20	10	42	13	9	
Sgca	2	23	3	7	4	2	6	29	19	3	
Col1a2	308	250	1383	441	223	59	377	98	40	521	
Sgcz	1	4	1	0	0	19	6	34	14	11	
Col1a1	287	170	1192	304	289	112	423	172	55	1066	
Rpl14-ps1	20	1	89	0	0	20	88	4	4	82	
9330151L19Rik	27	4	61	33	1	15	57	14	22	36	
1700011C11Rik	0	0	0	0	0	0	0	3	1	0	
Cyp4b1	461	282	2238	701	317	12	515	44	25	24	
4930425L21Rik	0	0	0	0	2	1	4	7	1	1	
Ipo8	227	62	622	175	72	23	65	85	23	305	
Ipo9	201	40	569	230	85	56	192	85	59	170	
Oprk1	0	0	2	0	2	9	9	37	19	1	
Ipo7	190	82	715	245	110	35	374	80	39	186	
Ipo4	85	73	161	90	13	56	265	59	32	15	
Ipo5	165	78	789	79	113	36	338	69	40	284	
Yrdc	48	17	6	2	13	6	48	8	3	40	
C2cd5	102	11	120	47	40	11	56	57	38	3	
Fbxl6	3	0	31	18	20	7	55	15	4	12	
Stim1	133	27	345	133	103	60	247	67	45	155	
Stim2	192	58	477	182	112	99	410	95	37	98	
Ssmem1	0	5	3	2	2	74	6	14	15	0	
Rufy4	5	7	6	2	7	21	7	28	21	0	
D830030K20Rik	826	510	492	484	325	292	190	81	79	279	
Pmp22	1089	646	1818	1258	680	73	422	82	25	627	
Pla2r1	77	23	259	83	31	9	60	46	39	14	
Elf5	72	4	56	44	1	6	51	18	17	11	
Eif4h	506	275	1065	441	214	90	480	113	82	687	
Eif4e	176	69	375	92	135	48	300	64	45	121	
Aif1	2	0	26	1	0	0	11	12	2	8	
Eif4b	410	174	1476	237	277	137	878	168	97	701	
Cabp7	0	0	0	0	0	0	1	3	2	0	
Cabp5	362	332	277	574	216	48	71	57	40	139	
Cabp4	3	2	1	0	1	12	3	24	12	2	
Cabp2	0	1	0	3	1	3	0	9	4	4	
Cabp1	0	0	20	4	2	15	1	7	4	6	
1700008J07Rik	7	3	47	0	6	21	103	42	21	7	
Spa17	12	6	27	20	15	16	3	10	15	18	
5830432E09Rik	0	0	6	5	17	20	49	29	27	16	
Amhr2	0	0	3	0	1	28	2	8	14	0	
